Name,ApiName,IsCustom,Description,IngestedBy,PopulatedBy,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,Owners,Stakeholders,IsFollowing,Definition,Notes,ManagedPackage,RawSalesforceId,SourceUrl
Foldered Content Document,FolderedContentDocument,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FolderedContentDocument/Details/view
Forecasting Adjustment,ForecastingAdjustment,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingAdjustment/Details/view
Forecasting Category Mapping,ForecastingCategoryMapping,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingCategoryMapping/Details/view
Forecasting Item Pivot Field Definition,ForecastingColumnDefinition,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingColumnDefinition/Details/view
Forecasting Custom Data,ForecastingCustomData,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingCustomData/Details/view
Forecasting Displayed Family,ForecastingDisplayedFamily,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingDisplayedFamily/Details/view
Forecasting Fact,ForecastingFact,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingFact/Details/view
Forecasting Filter,ForecastingFilter,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingFilter/Details/view
Forecasting Filter Condition,ForecastingFilterCondition,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingFilterCondition/Details/view
Forecasting Group,ForecastingGroup,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingGroup/Details/view
Forecasting Group Item,ForecastingGroupItem,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingGroupItem/Details/view
Forecasting Item,ForecastingItem,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingItem/Details/view
Forecasting Owner Adjustment,ForecastingOwnerAdjustment,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingOwnerAdjustment/Details/view
Forecasting Quota,ForecastingQuota,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingQuota/Details/view
Forecasting Share,ForecastingShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingShare/Details/view
Forecasting Source Definition,ForecastingSourceDefinition,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ForecastingSourceDefinition/Details/view
